Volume,Period,Year_Midpoint,Registry,Sex,Age_Group,Age_Group_Sort,Cancer_Code,Cancer_Label,Cases,Population,Rate_per_100k
IX,1998-2002,2000,Pune (Poona),Male,5-9,2,12,"Mouth, other and unspecified parts",1,846900,0.1181
IX,1998-2002,2000,Pune (Poona),Male,10-14,3,12,"Mouth, other and unspecified parts",0,946070,0.0
IX,1998-2002,2000,Pune (Poona),Male,15-19,4,12,"Mouth, other and unspecified parts",0,950555,0.0
IX,1998-2002,2000,Pune (Poona),Male,20-24,5,12,"Mouth, other and unspecified parts",0,1059265,0.0
IX,1998-2002,2000,Pune (Poona),Male,25-29,6,12,"Mouth, other and unspecified parts",2,954795,0.2095
IX,1998-2002,2000,Pune (Poona),Male,30-34,7,12,"Mouth, other and unspecified parts",9,813295,1.1066
IX,1998-2002,2000,Pune (Poona),Male,35-39,8,12,"Mouth, other and unspecified parts",13,689670,1.885
IX,1998-2002,2000,Pune (Poona),Male,40-44,9,12,"Mouth, other and unspecified parts",33,589150,5.6013
IX,1998-2002,2000,Pune (Poona),Male,45-49,10,12,"Mouth, other and unspecified parts",31,463275,6.6915
IX,1998-2002,2000,Pune (Poona),Male,50-54,11,12,"Mouth, other and unspecified parts",38,379430,10.015
IX,1998-2002,2000,Pune (Poona),Male,55-59,12,12,"Mouth, other and unspecified parts",24,247215,9.7081
IX,1998-2002,2000,Pune (Poona),Male,60-64,13,12,"Mouth, other and unspecified parts",36,205510,17.5174
IX,1998-2002,2000,Pune (Poona),Male,65-69,14,12,"Mouth, other and unspecified parts",19,147085,12.9177
IX,1998-2002,2000,Pune (Poona),Male,70-74,15,12,"Mouth, other and unspecified parts",10,104545,9.5653
IX,1998-2002,2000,Pune (Poona),Male,75-79,16,12,"Mouth, other and unspecified parts",4,54630,7.322
IX,1998-2002,2000,Pune (Poona),Male,80-84,17,12,"Mouth, other and unspecified parts",3,53160,5.6433
IX,1998-2002,2000,Pune (Poona),Male,85+,18,12,"Mouth, other and unspecified parts",1,0,
IX,1998-2002,2000,Pune (Poona),Male,0-4,1,13,Salivary glands,1,837385,0.1194
IX,1998-2002,2000,Pune (Poona),Male,5-9,2,13,Salivary glands,0,846900,0.0
IX,1998-2002,2000,Pune (Poona),Male,10-14,3,13,Salivary glands,0,946070,0.0
IX,1998-2002,2000,Pune (Poona),Male,15-19,4,13,Salivary glands,0,950555,0.0
IX,1998-2002,2000,Pune (Poona),Male,20-24,5,13,Salivary glands,0,1059265,0.0
IX,1998-2002,2000,Pune (Poona),Male,25-29,6,13,Salivary glands,1,954795,0.1047
IX,1998-2002,2000,Pune (Poona),Male,30-34,7,13,Salivary glands,2,813295,0.2459
IX,1998-2002,2000,Pune (Poona),Male,35-39,8,13,Salivary glands,3,689670,0.435
IX,1998-2002,2000,Pune (Poona),Male,40-44,9,13,Salivary glands,2,589150,0.3395
IX,1998-2002,2000,Pune (Poona),Male,45-49,10,13,Salivary glands,2,463275,0.4317
IX,1998-2002,2000,Pune (Poona),Male,50-54,11,13,Salivary glands,5,379430,1.3178
IX,1998-2002,2000,Pune (Poona),Male,55-59,12,13,Salivary glands,5,247215,2.0225
IX,1998-2002,2000,Pune (Poona),Male,60-64,13,13,Salivary glands,5,205510,2.433
IX,1998-2002,2000,Pune (Poona),Male,65-69,14,13,Salivary glands,0,147085,0.0
IX,1998-2002,2000,Pune (Poona),Male,70-74,15,13,Salivary glands,0,104545,0.0
IX,1998-2002,2000,Pune (Poona),Male,75-79,16,13,Salivary glands,1,54630,1.8305
IX,1998-2002,2000,Pune (Poona),Male,80-84,17,13,Salivary glands,1,53160,1.8811
IX,1998-2002,2000,Pune (Poona),Male,85+,18,13,Salivary glands,0,0,
IX,1998-2002,2000,Pune (Poona),Male,0-4,1,14,Parotid gland,1,837385,0.1194
IX,1998-2002,2000,Pune (Poona),Male,5-9,2,14,Parotid gland,0,846900,0.0
IX,1998-2002,2000,Pune (Poona),Male,10-14,3,14,Parotid gland,0,946070,0.0
