Cancer_Label,Sex,Period,Age_Group,Age_Group_Sort,Total_Cases,Total_Population,Rate_per_100k
Breast,Female,2013-2017,20-24,5,18,1541215,1.167909733554371
Breast,Female,2013-2017,25-29,6,53,1650504,3.211140354703775
Breast,Female,2013-2017,30-34,7,130,1297818,10.016812835081653
Breast,Female,2013-2017,35-39,8,255,1062421,24.001784603278736
Breast,Female,2013-2017,40-44,9,377,877902,42.943289797722294
Breast,Female,2013-2017,45-49,10,507,736162,68.87071052295555
Breast,Female,2013-2017,50-54,11,490,610618,80.24656986855939
Breast,Female,2013-2017,55-59,12,492,513842,95.74927701511359
Breast,Female,2013-2017,60-64,13,503,439699,114.39643938239568
Breast,Female,2013-2017,65-69,14,427,273122,156.3403900088605
Breast,Female,2013-2017,70-74,15,267,193940,137.6714447767351
Breast,Female,2013-2017,75-79,16,161,261372,61.59802886307639
Cervix uteri,Female,1993-1997,0-4,1,1,643220,0.1554678026180778
Cervix uteri,Female,1993-1997,5-9,2,0,725190,0.0
Cervix uteri,Female,1993-1997,10-14,3,2,608940,0.3284395835386081
Cervix uteri,Female,1993-1997,15-19,4,1,598555,0.16706902456750006
Cervix uteri,Female,1993-1997,20-24,5,12,704920,1.7023208307325652
Cervix uteri,Female,1993-1997,25-29,6,19,637700,2.9794574251215304
Cervix uteri,Female,1993-1997,30-34,7,56,556745,10.058464826805809
Cervix uteri,Female,1993-1997,35-39,8,111,530755,20.91360420533014
Cervix uteri,Female,1993-1997,40-44,9,126,364390,34.57833639781553
Cervix uteri,Female,1993-1997,45-49,10,143,242000,59.09090909090909
Cervix uteri,Female,1993-1997,50-54,11,131,177085,73.97577434565322
Cervix uteri,Female,1993-1997,55-59,12,95,147355,64.47015710359337
Cervix uteri,Female,1993-1997,60-64,13,119,156375,76.09912070343725
Cervix uteri,Female,1993-1997,65-69,14,83,91160,91.04870557261957
Cervix uteri,Female,1993-1997,70-74,15,50,65790,75.99939200486396
Cervix uteri,Female,1993-1997,75-79,16,19,33340,56.98860227954409
Cervix uteri,Female,1998-2002,0-4,1,1,756655,0.13216062802730438
Cervix uteri,Female,1998-2002,5-9,2,0,778730,0.0
Cervix uteri,Female,1998-2002,10-14,3,0,870590,0.0
Cervix uteri,Female,1998-2002,15-19,4,0,798260,0.0
Cervix uteri,Female,1998-2002,20-24,5,5,912800,0.5477651183172656
Cervix uteri,Female,1998-2002,25-29,6,24,880815,2.7247492379216975
Cervix uteri,Female,1998-2002,30-34,7,49,713015,6.872225689501623
Cervix uteri,Female,1998-2002,35-39,8,90,654240,13.75641966250917
Cervix uteri,Female,1998-2002,40-44,9,140,485225,28.85259415734968
