Volume,Period,Year_Midpoint,Registry,Sex,Age_Group,Age_Group_Sort,Cancer_Code,Cancer_Label,Cases,Population,Rate_per_100k
XII,2013-2017,2015,Pune (Poona),Male,10-14,3,6,Other oropharynx,0,1031264,0.0
XII,2013-2017,2015,Pune (Poona),Male,15-19,4,6,Other oropharynx,0,1142065,0.0
XII,2013-2017,2015,Pune (Poona),Male,20-24,5,6,Other oropharynx,0,1686156,0.0
XII,2013-2017,2015,Pune (Poona),Male,25-29,6,6,Other oropharynx,1,1790878,0.0558
XII,2013-2017,2015,Pune (Poona),Male,30-34,7,6,Other oropharynx,1,1506026,0.0664
XII,2013-2017,2015,Pune (Poona),Male,35-39,8,6,Other oropharynx,1,1224909,0.0816
XII,2013-2017,2015,Pune (Poona),Male,40-44,9,6,Other oropharynx,3,964181,0.3111
XII,2013-2017,2015,Pune (Poona),Male,45-49,10,6,Other oropharynx,2,760050,0.2631
XII,2013-2017,2015,Pune (Poona),Male,50-54,11,6,Other oropharynx,11,641815,1.7139
XII,2013-2017,2015,Pune (Poona),Male,55-59,12,6,Other oropharynx,15,536567,2.7956
XII,2013-2017,2015,Pune (Poona),Male,60-64,13,6,Other oropharynx,18,456396,3.9439
XII,2013-2017,2015,Pune (Poona),Male,65-69,14,6,Other oropharynx,7,299347,2.3384
XII,2013-2017,2015,Pune (Poona),Male,70-74,15,6,Other oropharynx,12,197559,6.0741
XII,2013-2017,2015,Pune (Poona),Male,75-79,16,6,Other oropharynx,4,237704,1.6828
XII,2013-2017,2015,Pune (Poona),Male,80-84,17,6,Other oropharynx,3,0,
XII,2013-2017,2015,Pune (Poona),Male,85+,18,6,Other oropharynx,2,0,
XII,2013-2017,2015,Pune (Poona),Male,0-4,1,7,Nasopharynx,0,1197333,0.0
XII,2013-2017,2015,Pune (Poona),Male,5-9,2,7,Nasopharynx,0,1112778,0.0
XII,2013-2017,2015,Pune (Poona),Male,10-14,3,7,Nasopharynx,1,1031264,0.097
XII,2013-2017,2015,Pune (Poona),Male,15-19,4,7,Nasopharynx,2,1142065,0.1751
XII,2013-2017,2015,Pune (Poona),Male,20-24,5,7,Nasopharynx,1,1686156,0.0593
XII,2013-2017,2015,Pune (Poona),Male,25-29,6,7,Nasopharynx,0,1790878,0.0
XII,2013-2017,2015,Pune (Poona),Male,30-34,7,7,Nasopharynx,2,1506026,0.1328
XII,2013-2017,2015,Pune (Poona),Male,35-39,8,7,Nasopharynx,4,1224909,0.3266
XII,2013-2017,2015,Pune (Poona),Male,40-44,9,7,Nasopharynx,6,964181,0.6223
XII,2013-2017,2015,Pune (Poona),Male,45-49,10,7,Nasopharynx,6,760050,0.7894
XII,2013-2017,2015,Pune (Poona),Male,50-54,11,7,Nasopharynx,4,641815,0.6232
XII,2013-2017,2015,Pune (Poona),Male,55-59,12,7,Nasopharynx,2,536567,0.3727
XII,2013-2017,2015,Pune (Poona),Male,60-64,13,7,Nasopharynx,0,456396,0.0
XII,2013-2017,2015,Pune (Poona),Male,65-69,14,7,Nasopharynx,6,299347,2.0044
XII,2013-2017,2015,Pune (Poona),Male,70-74,15,7,Nasopharynx,2,197559,1.0124
XII,2013-2017,2015,Pune (Poona),Male,75-79,16,7,Nasopharynx,0,237704,0.0
XII,2013-2017,2015,Pune (Poona),Male,80-84,17,7,Nasopharynx,1,0,
XII,2013-2017,2015,Pune (Poona),Male,85+,18,7,Nasopharynx,0,0,
XII,2013-2017,2015,Pune (Poona),Male,0-4,1,8,Hypopharynx,0,1197333,0.0
XII,2013-2017,2015,Pune (Poona),Male,5-9,2,8,Hypopharynx,0,1112778,0.0
XII,2013-2017,2015,Pune (Poona),Male,10-14,3,8,Hypopharynx,0,1031264,0.0
XII,2013-2017,2015,Pune (Poona),Male,15-19,4,8,Hypopharynx,0,1142065,0.0
XII,2013-2017,2015,Pune (Poona),Male,20-24,5,8,Hypopharynx,0,1686156,0.0
XII,2013-2017,2015,Pune (Poona),Male,25-29,6,8,Hypopharynx,0,1790878,0.0
XII,2013-2017,2015,Pune (Poona),Male,30-34,7,8,Hypopharynx,2,1506026,0.1328
XII,2013-2017,2015,Pune (Poona),Male,35-39,8,8,Hypopharynx,1,1224909,0.0816
XII,2013-2017,2015,Pune (Poona),Male,40-44,9,8,Hypopharynx,5,964181,0.5186
XII,2013-2017,2015,Pune (Poona),Male,45-49,10,8,Hypopharynx,9,760050,1.1841
XII,2013-2017,2015,Pune (Poona),Male,50-54,11,8,Hypopharynx,9,641815,1.4023
XII,2013-2017,2015,Pune (Poona),Male,55-59,12,8,Hypopharynx,16,536567,2.9819
XII,2013-2017,2015,Pune (Poona),Male,60-64,13,8,Hypopharynx,26,456396,5.6968
XII,2013-2017,2015,Pune (Poona),Male,65-69,14,8,Hypopharynx,24,299347,8.0175
XII,2013-2017,2015,Pune (Poona),Male,70-74,15,8,Hypopharynx,25,197559,12.6544
XII,2013-2017,2015,Pune (Poona),Male,75-79,16,8,Hypopharynx,18,237704,7.5724
XII,2013-2017,2015,Pune (Poona),Male,80-84,17,8,Hypopharynx,8,0,
XII,2013-2017,2015,Pune (Poona),Male,85+,18,8,Hypopharynx,9,0,
XII,2013-2017,2015,Pune (Poona),Male,0-4,1,9,Pharynx unspecified,0,1197333,0.0
XII,2013-2017,2015,Pune (Poona),Male,5-9,2,9,Pharynx unspecified,0,1112778,0.0
XII,2013-2017,2015,Pune (Poona),Male,10-14,3,9,Pharynx unspecified,0,1031264,0.0
XII,2013-2017,2015,Pune (Poona),Male,15-19,4,9,Pharynx unspecified,0,1142065,0.0
XII,2013-2017,2015,Pune (Poona),Male,20-24,5,9,Pharynx unspecified,2,1686156,0.1186
XII,2013-2017,2015,Pune (Poona),Male,25-29,6,9,Pharynx unspecified,0,1790878,0.0
XII,2013-2017,2015,Pune (Poona),Male,30-34,7,9,Pharynx unspecified,0,1506026,0.0
XII,2013-2017,2015,Pune (Poona),Male,35-39,8,9,Pharynx unspecified,0,1224909,0.0
XII,2013-2017,2015,Pune (Poona),Male,40-44,9,9,Pharynx unspecified,1,964181,0.1037
XII,2013-2017,2015,Pune (Poona),Male,45-49,10,9,Pharynx unspecified,0,760050,0.0
XII,2013-2017,2015,Pune (Poona),Male,50-54,11,9,Pharynx unspecified,6,641815,0.9348
